grid_id,activity_account
8297,0
8141,0
8298,0
8299,0
8142,0
8300,0
8612,0
8613,0
8456,0
8457,0
8614,0
8458,0
8615,0
8616,0
8459,0
8460,0
8770,0
8927,5
8771,0
8928,0
8772,0
8929,0
8773,0
8930,0
8931,0
8774,0
8143,0
8144,0
8301,0
8145,0
8302,0
8303,0
8146,0
8147,0
8304,0
8305,0
8617,0
8618,0
8461,0
8619,0
8462,0
8463,0
8620,0
8621,0
8464,0
8622,0
8932,1
8775,0
8933,0
8776,0
8934,0
8777,0
8778,0
8935,0
8779,0
8936,0
8148,0
8306,0
8149,0
8307,0
8150,0
8308,0
8151,0
8309,0
8152,0
8310,0
8465,0
8466,0
8623,0
8467,0
8624,0
8468,0
8625,0
8469,0
8626,0
8470,0
8153,0
8311,0
8937,0
8780,0
8938,0
8781,0
8939,0
8782,0
8940,0
8783,0
8941,0
8784,0
7990,0
7991,0
7834,0
7992,0
7835,0
7993,0
7836,0
7994,0
7837,0
7681,0
7838,0
7995,0
9241,0
9242,0
9085,0
9086,0
9243,0
9087,0
9244,0
9088,0
9245,0
9246,0
9713,0
9870,0
9714,0
9871,0
9872,0
9715,0
9873,0
9716,4
9874,0
9717,0
9399,1
9556,0
9400,0
9557,0
9401,0
9558,0
9402,0
9559,0
9403,0
9560,0
9089,0
9247,1
9090,0
9248,1
9091,1
9249,0
9092,0
9250,2
9093,0
9251,0
9875,9
9718,0
9876,7
9719,0
9877,0
9720,0
9878,0
9721,0
9879,1
9722,10
9404,0
9561,0
9405,0
9562,0
9563,0
9406,0
9564,1
9407,0
9565,0
9408,0
9094,0
9252,0
9095,0
9253,0
9096,0
9097,0
9254,0
9255,0
9098,0
9256,0
9880,0
9723,3
9724,0
9881,1
9882,1
9725,4
9726,0
9883,0
9727,0
9884,0
9566,0
9409,0
9567,0
9410,0
9568,0
9411,0
9569,6
9412,0
9413,0
9570,0
9099,0
9257,0
8627,0
8628,0
8942,0
8785,0
9571,12
9414,1
9728,1
9885,0
10165,0
10008,0
10166,1
10009,0
10167,0
10010,0
10168,0
10011,0
10012,0
10169,0
10479,0
10480,0
10323,0
10481,0
10324,0
10482,0
10325,0
10483,0
10326,0
10484,0
10170,0
10013,0
10171,0
10014,0
10172,0
10015,0
10016,0
10173,0
10174,0
10017,0
10327,0
10485,0
10328,0
10329,0
10486,0
10487,0
10330,0
10488,0
10331,0
10489,0
10175,0
10018,0
10176,0
10019,0
10177,0
10020,0
10178,0
10021,0
10022,0
10179,0
10332,0
10490,1
10333,0
10491,0
10334,0
10492,0
10335,0
10336,0
10493,0
10494,0
10647,0
10805,0
10648,0
10806,0
10649,0
10807,0
10650,0
10808,0
10651,0
10809,3
10023,0
10180,0
10181,0
10024,0
10182,0
10025,0
10183,1
10026,0
10184,0
10027,0
10337,0
10495,0
10338,0
10339,0
10496,0
10340,1
10497,1
10498,1
10341,0
10499,0
10652,0
10810,0
10653,0
10811,0
10654,0
10812,0
10655,0
10813,0
10656,0
10657,0
10952,0
11109,0
10953,0
11110,0
10954,0
11111,0
10955,0
11112,0
10956,0
11113,0
11264,0
11265,0
11266,0
11267,0
11268,0
11269,0
11270,0
11271,0
11272,0
11273,0
11425,0
11583,0
11426,0
11584,0
11427,0
11585,0
11428,0
11586,0
11429,0
11587,0
10642,1
10643,0
10800,0
10644,0
10801,0
10802,0
10645,0
10803,0
10646,0
10804,0
10957,0
11114,0
11115,0
10958,0
10959,0
11116,0
11117,0
10960,0
11118,0
10961,0
11430,0
11588,0
11431,0
11589,0
11432,0
11590,0
11433,0
11591,0
11434,0
11435,0
11119,0
10962,0
11120,0
10963,0
11121,0
10964,0
11122,0
10965,0
11123,0
10966,0
11274,0
11275,0
11276,0
11277,0
11278,0
11279,0
11280,0
11281,0
11282,0
11283,0
11436,0
11593,0
11437,0
11594,0
11438,2
11595,0
11439,0
11596,0
11440,0
10967,0
11124,0
10968,0
11125,0
10969,0
11126,0
10970,0
11127,1
10971,0
11128,0
12380,0
12537,0
12381,0
12538,0
12067,0
12224,0
12068,0
12225,0
12069,0
12226,0
12070,0
12227,0
12228,0
12071,0
11753,0
11754,0
11911,0
11912,0
11755,0
11756,0
11913,0
11914,0
11757,0
11758,0
12539,0
12382,0
12540,0
12383,0
12384,0
12385,0
12386,0
12387,0
12388,0
12389,0
12072,0
12229,0
12073,0
12230,0
12074,0
12231,0
12232,0
12075,0
12233,0
12076,0
11915,0
11759,2
11916,0
11760,0
11917,0
11761,0
11918,0
11919,0
11762,0
11920,0
12390,0
12391,0
12077,0
12234,0
12078,0
12235,0
12079,0
12236,0
